score,review
4.0 out of 5 stars,"
  It's a pretty good, inexpensive casual or business casual shirt.  Basic with few extras but pretty good.<br><br>It fits as expected and is comfortable but there are some minor finish issues and it lacks what other shirts in this range have.<br><br>For example, it has no side pleats in back and doesn't have a box pleat below the yoke.  It also doesn't have a hanging loop but I don't care about that.  If you do you'll be disappointed.  So the back is a plain back which is not a problem for me but for some, who wear this to work and want a more finished look it may be an issue.  If you're wearing it under a coat no problem of course but you'll have to take it off sometime :-D<br><br>The right cuff buttons are just a tad off so the cuff hem doesn't match exactly. This is only noticeable to me and only because I seem to have a habit of messing with them. So it isn't visible but can be felt.<br><br>Also, there are lots of loose threads from production that aren't removed so be ready to give the shirt a quick going over when you get it.  Most of them were simply loose pieces and pulled right out, but a couple of the buttons had to have the threads trimmed.  Not a big deal.<br><br>I'd give it 5 stars but for the few little issues I mention. Overall a solid shirt (pardon the pun) and a great standby for any traditional guy's closet.
"
5.0 out of 5 stars,"
  This is one of Van Heusen's better quality made shirts. Although not completely iron free, if you wash and dry with a small load and remove from the dryer and hang immediately you won't require much ironing, none at all for those that wear these as casual shirts. I iron everything I wear. These are very well made shirts. Not thin or see through. But not hot and heavy either. They look great with a sport coat and jeans, or as a dress shirt. For the price $22.00, you simply can't beat these shirts. The colors are vivid. It's hard finding Striped Oxford shirts without paying at least $50.00 a pop or more. These are well worth every cent. I'd order more if they had more colors. Sizes are true in American sizing. So order your regular size without worrying about China's sizing. Great shirts.
"
1.0 out of 5 stars,"
  I have ordered quite a few of these shirts the past year. So, I guess that the odds of me receiving one that was flawed was bound to happen. The issue is that I bought this shirt the end of February as a gift for my son in law. He did not wear the shirt right away because he was asked to work from home due to Covid19 the past ten weeks. Recently he wore the shirt and then washed it only to discover the unfinished seems at the cuff of each arm. It is past the time frame for me to return the shirt to the vender nor am I able to attempt the return...I would exchange this shirt if I could. Its disappointing. Darn Covid19!
"
5.0 out of 5 stars,"
  I have had a difficult time finding shirts that fit just right and are well constructed. I usually like Van Heusen and these shirts are no different. The fit is great, neck size is good and sleeve length is great. The material is a little on the heavy side, in a good way and all of the stitching feels durable. I really like the collar on these, after buttoning them down they hold their shape well and look good with a sweater or jacket. I have not worn them with a tie yet, but they do button snuggly but not too tightly.<br><br>I originally bought one shirt to test it out. I have since bought two more in other colors so I can add them to my regular rotation.<br><br>For the price I think these are fantastic.
"
2.0 out of 5 stars,"
  I’m 6’2”, 180lbs, fit. I purchased the blue 16.5, 34/35 which fits me well, which includes the sleeve length. This my review:<br>PROS:<br>- Overall looks good although not great.<br>- Fitting is correct, as long as you know your measurements, you will get the right size.<br>CONS:<br>- The fabric is very thick and stiff, making it uncomfortable to the skin.<br>- Extremely difficult to iron, wrinkles are insanely stubborn.<br>- The neck collar is very stiff, it scratches your neck.<br>RECOMMENDATION:<br>Not the best shirt out there, the fabric feels so rough, it does not feel high quality. I don’t recommend it.
"
1.0 out of 5 stars,"
  I bought two shirts as a backup for when they would be needed for work.  I wore the blue striped shirt twice.  It's only been washed once.  The second time I wore it, I felt it split 3"" on the left side by the seem.  It's a good looking and comfortable shirt.  I just won't buy them again.  I can't contact the buyer and return it because it's over a month since being bought.  So much for planning ahead and having shirts ready when needed.
"
5.0 out of 5 stars,"
  I rarely dress up but am going to a relative's wedding where I'll have to wear a coat and tie to 2 different events. I'm more a jeans and flannel shirt guy.  I do have an older, but nice, blazer and needed to build a wardrobe around it. Although I haven't worn it anywhere yet, but it fits great and looks good.  I don't think I'll be embarrassing the family or myself. I also bought a light blue Van Heusen shirt for the alternate night. Now, I just need to find a tie.
"
5.0 out of 5 stars,"
  I needed a semi-dressy oxford cloth shirt that I could wear with a tie to church on Sunday, as well as without a tie for general ""business casual"" use.  I have had good luck with this brand in the past, and with Amazon's guarantees and ability to return if unsatisfied, I decided to give it a try.<br><br>This is a VERY nice shirt.  Irons up very well, and it's well constructed to take a tie-- or NO tie.  The buttons are top quality, well sewn, and the fit was exactly as expected.  I liked this shirt so much that after a month I just ordered a second one.
"
5.0 out of 5 stars,"
  Another quality Van Heusen dress shirt for my 'collection'. The collection starts at 16"" then 16.5, then 17, then 17.5, so I skipped 18 for this 18.5. They're too small to wear and too good to get rid of. I keep thinking one of these years I'll lose some weight.
"
4.0 out of 5 stars,"
  These shirts are great, fit well (not too loose not too tight) and the best part is the sleeves really are 36-37!!  I always tell people I have monkey arms and it's so hard to get sleeves that are the correct size without getting Tall (not as common as it should be) or 2 XL which are then like wearing a tent.  These are perfect, just wish they were in a few more colors other than shades of blue ;-)
"
