sentence,sentiment
the only thing amaze about this shirt be that anyone actually buy the b that this be cotton— it ’ s absolutely not— it ’ s that horrible wicking fiber junk— those shirt be wonderful the first time you put them on hey use to fall for them too,0
very comfortable on the first few outings—,1
but then as they wear the plastic that they be make out of start to make itself know and no matter how much you wash it if you sweat it in the smell be never come out,2
they also run big—i buy large,2
and return it,2
and this be big enough for guy carry an extra,0
i ’ m ’ ” — i ’ d go with m if you ’ re the same size and you don ’ t mind these fake man make material shirt,0
the best option be high quality cotton shirt — light weave,1
there be several out there banana republic have one— they also have the bad micro fiber shirt so beware,0
it ’ s also shameful that they list this as cotton when it ’ s clearly not,2
this shirt be make of wonderfully soft silky cotton,0
but it have large cloth tag in the neck that cant be remove,2
its very securely glue to the cloth,0
and be very stiff and itchy,0
in addition two shoulder seam that join the collar be sew with some synthetic material that also itch,0
weirdly buy second shirt from calvin klein at the same time,0
different color,1
and it have two neck tag sewn in which be able to remove without damage to the shirt and the shoulder seam be not annoy,2
i guess their quality control stink and they havent cught up to the rest of the world in place printed neck tag in their shirt,0
i think everybody be do that,0
i wouldnt buy these shirt again and ill have to be assure that the neck tag be print in any shirt buy from now on,0
really nice material,1
much nice than expect,1
ck logo be small and really not noticeable,2
get this to wear on casual date night and summer evening and have be get lot of compliment,1
like many ck product it ’ s tight around the arm,2
i ’ m ’ with formerly athletic build so struggle to find good fit,1
but with the exception of the arm this fit really well,1
get the white one with grey stripe and have pair it with jean blue short and grey short and all have look good,2
i have be wear calvin klein polo shirt for over year,0
i normally purchase the shirt directly from calvin klein,0
i love the cut and the fit of their shirt,1
for what ever reason the cut of this shirt be different from other calvin polo own,2
the fit be great,1
the weight of the shirt be very nice,1
the cut of the shirt be just little different,2
also the collar have mind of its own,0
i be draw to these polo shirt because they come in large variety of color,2
i be an avid collector,0
i wash them on delicate cycle and line dry them,0
the color be beautiful and stay vibrant after many many wash,1
the interlock fabric be soft and have an elegant appearance,0
sadly ive notice that some of the shirt be now show tiny hole in random place after only several wash,2
they quickly get big and the stitch start run,2
it cant really be fix,1
i be very disappointed,2
i often buy two of the same color so it will probably happen to those also,0
how can it be that some be hold up perfectly and others be just terrible,1
i wonder if some of these shirt be second rate quality,1
find this polo at calvin klein outlet year ago,0
have be look all over for more,1
husband love this for golf as it ’ s so comfortable lightweight,1
but do not cling,0
perfect fit,1
wash well,1
keep its shape,1
the material be very soft and feel great,1
however wish there be some degree of taper to the waist,0
the shirt be very boxy,1
thats not an issue if that be how you prefer yours,2
however if youre look for something that come in little as it go down from the shoulder this be not the fit youll find in this shirt,2
as wife think the shirt be perfect fit for my husband,1
he state that he wish it be little longer he felt it be to short at the bottom and little tight than what he use to,2
i felt that he be just little uncomfortable with have big stomach,2
i didnt have him raise his hand to see if it would lift and show anything,2
but my experience think it would have,0
i would probably go up one size for this,0
great comfortable shirt,1
love the material,1
similar to under armour polo,0
calvin klein run small,2
i be six foot tall lb,0
i be wear xl and it fit perfect,1
i have broad shoulder,0
secondly machine wash cold and hang dry,0
dont put these in the dryer if you can avoid it,0
i love ck and specifically the liquid touch polo,1
but this one have little hole in the front bottom after just few week just after the return window close,2
very disappointing,0
it be not moths as this be the only item in my closet this happen to and dont do anything unsual,2
while wear it,0
very nice fitfeel and weight,1
i order small to have fitter look,2
normally wear medium,0
love these polo good fit and design,1
fit be as expect,1
so many polo shirt have bad collar and these look great,1
im glad they come in multiple color include some interesting contrasting collar look,0
i will be stock up bit,0
these be great polo if you buy them in store,1
but order from amazon and they both come with terribly crease collar,0
i have try steaming and ironing and nothing work to fix the permanent crease in the collar,0
aside from that they be decent polos fit nice on the arm,1
but be not to tight around the body which be how like my polo,2
but would avoid buy these online,0
really disappointed,2
buy this last minute for my husband and im so glad do,1
i love the look and he love the comfort,1
fit great,1
would like it bit longer,2
but it do go right past the belt line,1
bad product,2
i wish never order this,0
it be not liquid touch material rough heavy and didn ’ t fit well,2
i get similar one from macy,0
it be so much good,1
don ’ t know why amazon doesn ’ t quality control men ’ s clothing,0
just like the one buy at the store,1
i buy this for my father for father day and because of quarantine be unable to go shop for him order him this shirt and it fit perfectly and he love it,1
this be literally the first negative review ive ever write on amazon,2
i be lb,0
i purchase the large and it barely go past my waistline,0
and its very wide,0
it would be great fit for short husky guy,1
but unwearable for me,0
unfortunately take the tag off so cant return it,2
i like it so so much and also hubby,1
it be gift from my side,0
for my hubby birthday 🎁,0
tshirt be very very stun,1
shirt fit really small,2
i normally wear xlarge ft tall lb,0
after wash it one time cant even get shirt on shrunk so much,2
great polo,1
love the material,1
end up get the wrong size for the husband so return,2
but this be great polo,1
good material,1
color be beautiful and the same as show in the picture,1
