score,review
4.0 out of 5 stars,"
  I went out with this sweet ass shirt. Before I knew it, I had a harum of adoring women and cats fighting for their lives to bed me. I'm not that type of guy, so I rounded up some stray dogs, a jar of peanut butter, and the rest is none of your business. Just buy the shirt dude.
"
5.0 out of 5 stars,"
  Got this shirt for a wedding. I am 180lb and 5'10''. I got a large and it fit perfectly. My neck is 16 1/2  - 17.<br>PROS:<br>- very good fit<br>- very nice material<br>- had the wedding outside in very hot FL and I didn't sweat in it<br>- comfortable<br>- good price<br>CONS:<br>- a few loose annoying threads hanging at the sleeve and other seams. I cut them with small scissors
"
5.0 out of 5 stars,"
  GF bought me a different shirt to wear to a party, but I didn't like it - got this in before the party, put it on for her, and she liked it more than her choice's fit and color.  I like it, too.
"
3.0 out of 5 stars,"
  I followed their recommended sizing and ordered a medium taking a chance on it being small since they said it runs small. It came in a 42, which is not a medium and although they attached a medium tag, the shirt was large. And in their pictures it looks like a narrow athletic waist and below, but actually flares out a little. Not like the picture at all.
"
5.0 out of 5 stars,"
  This is a really great shirt, i’m 511 and  weigh 190 and extra lage is perfect for Me. I just wish it was just little bit longer because every now and then I find myself keep  having to tuck in my shirt. Other than that no complaints.
"
4.0 out of 5 stars,"
  Loved the material and the color was as shown.  Great looking shirt for the price range.  Just be sure to get 1 size larger than you normally wear.  Yes, I was aware it was slim fit when I purchased it/.
"
5.0 out of 5 stars,"
  Awesome shirt.  I actually have the white and light blue versions of this shirt.  The quality of these shirts is better than some I've purchased at department stores.  Arrived neatly folded and was easy to iron.  I wish they added a light yellow version of this shirt.
"
5.0 out of 5 stars,"
  My family &amp; I took maturnity photos.  The shirt fit my husband as expected.
"
5.0 out of 5 stars,"
  Great material and it’s not see through.
"
5.0 out of 5 stars,"
  Pretty much fit exactly how I thought it would, even with plenty of room in the neck and I have a lot of trouble with that on button up shirts. The feel of the material is great too. Really impressed with such a moderately priced shirt.
"
5.0 out of 5 stars,"
  I am 6'2"" and vary between 190-200lbs and I purchased a medium. This fit me perfectly. I am the type of person that pays to get shirts fitted and I have been leaning more towards these stretch shirts because they are so cheap and look so nice. If it breaks, I replace it with another one. It's cheaper that buying a $100 shirt and paying $35 for a good tailor. A little tight around the neck but aren't all dress shirts suppose to be in order to look really good? Pulled slightly at the buttons if I lift my hands above my head but nothing to worry about. Overall, awesome shirt
"
