sentence,sentiment
i go out with this sweet as shirt,0
before know it have harum of adore woman and cat fight for their life to bed me,0
just buy the shirt dude,1
get this shirt for wed,0
i be and,1
i get large and it fit perfectly,1
my neck be,0
pro,1
very good fit,1
very nice material,1
have the wedding outside in very hot fl and didnt sweat in it,0
comfortable,1
good price,1
con,0
few loose annoy thread hang at the sleeve and other seam,2
i cut them with small scissors,2
gf buy me different shirt to wear to party,0
but didnt like it get this in before the party put it on for her and she like it more than her choice fit and color,1
i like it too,1
i follow their recommended sizing and order medium take chance on it be small since they say it run small,2
it come in which be not medium and although they attach medium tag the shirt be large,2
and in their picture it look like narrow athletic waist and below,1
but actually flare out little,0
not like the picture at all,2
this be really great shirt i ’ m and weigh and extra lage be perfect for me,1
i just wish it be just little bit longer because every now and then find myself keep have to tuck in my shirt,2
other than that no complaint,1
love the material and the color be as show,1
great look shirt for the price range,1
just be sure to get size large than you normally wear,0
yes be aware it be slim fit when purchase it,0
awesome shirt,1
i actually have the white and light blue version of this shirt,0
the quality of these shirt be good than some ive purchase at department store,1
arrive neatly fold and be easy to iron,1
i wish they add light yellow version of this shirt,0
my family amp,0
i take maturnity photo,0
the shirt fit my husband as expect,1
great material and it ’ s not see through,0
the feel of the material be great too,1
really impressed with such moderately price shirt,1
i be and vary between and purchase medium,0
this fit me perfectly,1
i be the type of person that pay to get shirt fit and have be lean more towards these stretch shirt because they be so cheap and look so nice,1
if it break replace it with another one,2
its cheaper that buy shirt and pay for good tailor,1
a little tight around the neck,2
but nothing to worry about,1
overall awesome shirt,1
fantastic fit,1
it fit me like glove,1
dad bod to athletic build,0
basically muscle under flab lol,0
super soft as well,1
my favorite part be can never find size that fit my large neck with large adam apple,0
but not be baggy in the waist,2
usually large neck be large size all around,0
not in this case,2
large neck in average size,0
i will definitely buy more from this brand,1
i like the look and material good price as well,1
however i ’ m tall ’ ” and weight about lb and the xl be still little snug,0
sleeve be tad bit too short,2
consider get another one just because do like the appearance and price,1
however i ’ m hesitant give that this be the large shirt they sell,0
i order large which be my usual size for dress shirt that wear with suit,0
this large shirt be little more snug,2
but didnt mind because im wear this shirt with casual clothing like chino pant jean etc,0
fit great,1
only downside be,0
i will still wear outside of work as it be very comfortable,1
buy this back in sept,0
unfortunately after couple year of roll the sleeve just behind the elbow it eventually tear,0
couldnt find one like well so order new one now,1
i think it would not fit,2
but be surprise,1
it fit well and move with you and be super comfy,1
buy it for graduation and be in the waist,1
excellent dress shirt,1
very happy with this purchase,1
dress shirt look great and be really very comfortable,1
the size be just fine for me and seem accurate,1
i would definitely recommend to others,1
this shirt be alot good than expect,1
actaully little too nice for what want it for,1
im definitely gon na look on point rock this shirt,1
use size chart and it fit my fiancé perfectly,1
my man run slim in the waist amp,0
it doesn ’ t look too baggy on him,2
material be very soft and somewhat textured,2
its not quite tailor in the waist section,2
great quality elegant formal casual easy to iron you dont need an undershirt,1
i use this shirt for modern tuxedo,0
i highly recommend this shirt,1
order my usual size and the shirt fit fine,1
the fabric have the synthetic shine which dont like,0
but like the pale blue color and rich ribbed texture,1
ive only wear it few time and it be ready for the trash,0
some spot on the fabric look like someone take sandpaper to it with no explanation,2
overall waste of money,1
other shirt in this price range be good choice,1
my son be medium in everything with some thing be little large and others be little small,2
i get him large in this base on review,0
it be amazingly too small,2
seem like nice shirt,1
but the sizing be way off,2
it really be nice dress shirt,1
pay attention to the measurement,0
pleasantly surprise by this shirt,1
im wear jacket and the large fit well,0
i get white and its not see through,0
fabric quality be good with cool ribbing texture,1
very basic dress shirt,1
well for jean or khaki and casual jacket not with dress slack imo,1
i like slimtailoredathletic cut dress shirt and like how this shirt look on me right away,1
ill be get more,0
muy linda pero muy difícil de limpiar por que la puse lavar no se limpia bien la mangas quedaron manchadas,0
i love quality of the material,1
but it could be more slimmer on the arm,0
overall it be awesome,1
i love these shirt so much bought of them,1
the fit be perfect tuck or untucked,1
the fabric be pretty with bit of pattern on it,2
super good quality and very comfortable,1
however most definitely get one size up,0
i still wear the medium,0
but my athletic build make very tight on the chest and could put my arm all the way in the air without serious discomfort,2
i ’ m ’ and,0
me gustó mucho me quedo excelente,1
i wasnt aware it have stripe pattern in it or weave that look like cheap poly white shirt,2
thought this would be standard white cotton dress shirt,0
this be such an amazinglooking shirt,0
and my son love the material too,1
it have slight sheen to it and an almost invisible pinstripe,0
very dressy very classy,1
it fit perfectly,1
my son be super skinny ’ ” and pound,0
i buy small and look great,1
only thing be there be really small line in the shirt that be not expect,2
but it do not affect the look,2
my experience with buy formal wear online have be mix at best,0
but this be huge exception,0
the quality of the shirt and its material be firstrate and it arrive on my doorstep within day of purchase,1
good,1
fit perfectly im pound and get large,1
material be bit thin though,2
but not big problem,2
this shirt be worth the money,1
purchase for my son and he love this shirt and so do his girlfriend,1
i will definitely purchase other color,1
tela de perfecta calidad,0
me fascinó,0
gracias,0
it be very short on my soon to be hubby,2
it be also an odd material not your typical light dress shirt,2
it be thick as well which be not good thing for summer wedding,1
great shirt for word,1
grear fabric,0
i order pair of this in white color and light blue,0
love the way it fit and feel comfortable,1
definitely will buy again if it have more light color,1
this material feel like nirvana,1
love everything about this shirt,1
my husband be mens small and it fit great in that size,1
son need shirt quick for school performance,0
arrive as expect via prime and fit well,1
for shirt that win ’ t be work more than time zero complaint,0
i purchase this for work and specifically require nontextured white shirt,0
the photo indicate that there be no texture,0
however this be completely unusable for my job,2
fit be bit large than expect,2
and the collar seem horrifically unaligned at best,0
incredibly disappointed,2
please take care about packaging,0
expensive for the quality,1
size okay,0
but the bag be rip and have to wash this shirt because be dirty,2
this dress shirt meet my expectation,1
it be very comfortable fit well properly tailor and the color be soft and easy of the eye,1
i purchase this shirt for work,1
however be consider purchase another for church,0
this be slim fit shirt,0
i be not expect it to be sort of ribbed material,2
but it do add little bit to they style,2
if you be guy with large arm and forearm,0
this one may not be for you unless you want to hulk out of the shirt,2
i buy large and it hug around the arm,0
nice dress shirt,1
nice packaging fit well,1
perfect fit,1
he have small waist and large shoulder and arm and it fit perfectly,2
shirt fit good and seem to be of good quality,1
really satisfied,1
would purchase again very unique material to what im use to wear,0
but like,1
excellent,1
nice shirt,1
fit perfect and look great,1
one of my favorite shirt,1
cheaply make,1
but look at the price,1
great to wear for couple special occasion then it fall apart,1
quality shirt,1
love the design,1
fit more like skinny and not slim,0
order one to two size large,0
purple be little darker than thought,2
but nothing can ’ t live with since everything else be perfect,1
great,1
excellent shirt,1
true to size and material stay wrinkle free after long day,2
great fitting,1
it fit amazingly,1
my son have to wear this to perform dance routine and it didn ’ t rip or tear,0
great quality and true to size order it for my wedding and cant wait to wear it,1
all of my groomsman be get this shirt,1
id reccomend it and buy it again,1
give out as gift and he love it,1
great quality and feel for the price,1
look sharp with jean or slack,1
very good shirt for price,1
great for the price,1
fit nicely look great,1
size chart be loose for an average body,2
but seem to be very well make shirt,1
this shirt be great material,1
however listen to the review and order size too big,0
the review lie,0
so now ive spent on shirt that cant wear because its huge,0
would really like to know if can exchange it,1
im disappointed because it be very nice shirt,1
i do not even open the package because ai didnt care for the fabric,2
great quality and great value,1
just as the picture,0
good quality,1
i will order different color,1
shirt fit good,1
its soft,1
and be good for the price,1
i hope it would be atheltic fit it wasnt very disappointed,2
this product be wear at middle school semiformal dance,0
too baggy for what usually buy,0
but nice quality even though the fabric little too stiff,1
the medium be too tight,2
seller be send large one free of charge,2
thx,0
the picture appear to have the shirt side pin in the back to give it slim look,2
i be and,1
while the arm and neck be perfect the body of the shirt be not form fitting at all,1
love the quality and texture,1
not trueslim fit,2
love the way it fit my husband,1
if your large go size big,2
it be nice and lightweight,1
the person who receive this shirt say it have nice feel and fit well,1
size chart say xl sleeve,0
however theyre short than my shirt with sleeve,2
