sentence,sentiment
we purchase of these shirt for my son,1
all the same brand all the same size all from amazon,0
but do review on each color because they do differ,0
i don ’ t know if everyone be like me or not,0
but heavily rely on product review when place online order,0
purchase of white,0
run really big,2
my son start new job at one of the chain hardware store,0
they require that he wear collared shirt,0
he didn ’ t have any and be that he work in the garden center know they would get dirty and didn ’ t want to spend lot,0
we order of these shirt from the same brand,0
this particular one be white,0
i be not very happy with this one,1
the material be super thin and it be scratchy,2
you can almost see through it,0
but it work ok because he wear vest over the shirt at work,0
i will say on positive note though the shirt have get pretty dirty and have clean up well,1
for,1
probably wouldn ’ t buy again will wait for sale at one of the department store and get good soft quality shirt,1
,1
purchase of ash grey,0
run pretty true to size,0
as mention in my other shirt review my son be require to wear collared shirt at work,0
be that he work in hardware store we know they would get dirty and didn ’ t want to spend lot,0
we order of these shirt from the same brand,0
this particular one be grey,0
out of the we purchase this one be far the best,1
it be make of thicker material than the white one,0
it be way soft than the white one and it fit more true to size than the white one,0
it have always amaze me how you can buy multiple item from the same seller and they fit differently,1
he wear this one the most,0
even on day when he get it super dirty it wash up easily without even use prewashstain remover,0
i be happy with this one consider the price we pay,1
,1
purchase of charcoal,1
run bit big,2
this review be for the charcoal color shirt,0
the shirt be nice dark color which help keep it clean,1
i be concern about the shirt be too hot,0
as mention in my other shirt review my son work at hardware store in the garden center and be outside lot,0
the shirt be lightweight and thin so he hasn ’ t get too warm in it,0
be that the color be dark the fact that it be thin be not big issue like it be with the white one,2
much like the white shirt the material on this one be bite scratchy,0
it ’ s be wash several time and still have that scratchy feeling,2
also much like the white one this one tend to run bit large than regular xl shirt,2
we have be rotate the shirt during his weekly schedule,0
although they may not be my favorite purchase or even really great “ deal ” wouldn ’ t return them,0
all shirt despite their difference have hold up well and be good work shirt,1
this time of year you dont need sweater in mississippi yet,0
but long sleeve be must,0
i be look online for some costeffective longsleeve shirt that could easily wear for business casual and casual,0
this be perfect,1
it look good with slack or jean,1
look and feel good,1
the fabric be little light compare to the heavy cotton that be often use in such shirt,0
but it be good,1
when they say they will deliver xl they mean business,0
i be big guy and need the big size,2
but this shirt have that cover,0
these be awesome,1
first and foremost it be jersey knit not polo knit so it feel like light weight tee shirt which be awesome in the summer time,1
i work combination of indoors and outdoors so tee shirt with collar be real plus around my office,0
the fit be amaze,1
im build like fire plug,0
and lb,0
i have chest,0
but normally wear coat for my shoulder,0
well the xl be perfect fit for me,1
a large fit me good across the chest and be more form fitting,1
its snug,0
but not tight,2
but the xl fit my shoulder and be lot more comfortable,1
in my opinion the sizing be spot on accurate,2
from the jerzees website xl,0
even good than the way it fit in the chest be the sleeve,2
they go all the way to my elbow,2
a standard polo sleve bunch up and creep up to my shoulder,0
this shirt have roomy shoulder so it doesnt bunch up and the sleeve go all the way to my elbow,2
straight arm it stop about,0
above the crease in my inner elbow,0
lastly be the length,0
at can tuck this shirt in into my jean or slack and it look great,1
most polo shirt in an xl be either way too long,2
hang past my crotch,0
or way too short,2
stop at my belt,0
this one be design to be wear tuck in,0
if you be tall than foot id look at the tall size,0
if youre heavier,0
thicker in the middle,0
look at the numbered size,0
a secret to shirt size that many dont know be that an xxl and be not the same cut,0
in football term an xxl be for run back,0
while be for lineman,0
if youre stocky in the middle get the numbered size,0
