score,review
2.0 out of 5 stars,"
  We purchased 3 of these shirts for my son. All the same brand, all the same size, all from Amazon, but I did a review on each color because they do differ.  I don’t know if everyone is like me or not, but I heavily rely on product reviews when placing online orders.<br><br>Purchase #1 of 3 WHITE...<br>RUNS REALLY BIG!<br><br>My son started a new job at one of the chain hardware stores. They require that he wear a collared shirt.  He didn’t have any and being that he works in the Garden Center, I knew they would get dirty and didn’t want to spend a lot.  We ordered 3 of these shirts from the same brand.  This particular one is WHITE.  I am not very happy with this one.  The material is super thin and it is scratchy.  You can almost see through it, but it works ok because he wears a vest over the shirt at work.  I will say on a positive note though, the shirt has gotten pretty dirty and has cleaned up well.  For $9.00, I probably wouldn’t buy again, I will wait for a sale at one of the department stores and get a better, softer quality shirt.<br>_________________________________<br>Purchase #2 of 3 ASH GREY...<br>RUNS PRETTY TRUE TO SIZE!<br><br>As mentioned in my other shirt review, my son is required to wear a collared shirt at work.  Being that he works in a hardware store, we knew they would get dirty and didn’t want to spend a lot.  We ordered 3 of these shirts from the same brand.  This particular one is GREY.  Out of the 3 we purchased, this one is far the best.  It is made of thicker material than the white one.  It is way softer than the white one AND it fits more true to size than the white one.  It has always amazed me how you can buy multiple items from the same seller and they fit differently.  He wears this one the most.  Even on days when he gets it super dirty, it washes up easily without even using prewash/stain remover.  I am happy with this one considering the price we paid.<br>_________________________________<br><br>PURCHASE #3 of 3 CHARCOAL...<br>RUNS A BIT BIG!<br><br>This review is for the CHARCOAL colored shirt.  The shirt is a nice dark color,  which helps keep it clean.  I was concerned about the shirt being too hot.  As mentioned in my other shirt reviews, my son works at a hardware store in the Garden Center and is outside a lot.  The shirt is lightweight and thin, so he hasn’t gotten too warm in it.  Being that the color is dark, the fact that it is thin is not a big issue like it is with the white one.  Much like the white shirt, the material on this one is a bit scratchy.  It’s been washed several times and still has that scratchy feeling.  Also much like the white one, this one tends to run a bit larger than a regular XL shirt.  We have been rotating the 3 shirts during his weekly schedule.  Although they may not be my favorite purchase or even really a great “deal”, I wouldn’t return them.  All 3 shirts, despite their differences, have held up well and are good work shirts.
"
5.0 out of 5 stars,"
  This time of year you don't need a sweater in Mississippi yet, but long sleeves are a must. I was looking online for some cost-effective long-sleeve shirts that I could easily wear for business casual and casual. This was perfect. It looks good with slacks or jeans. Looks and feels good.
"
5.0 out of 5 stars,"
  The fabric is a little light compared to the ""heavy cotton"" that is often used in such shirts, but it is good.  When they say they will deliver a 4X XL,  they mean business.  I am a big guy and need the big sizes.  I recent years have dreaded plumber butt, but this shirt has THAT covered!
"
5.0 out of 5 stars,"
  These are awesome!!!<br><br>First and foremost it is a jersey knit not a polo knit: so it feels like a light weight tee shirt which is awesome in the summer time.  I work a combination of indoors and outdoors so a tee shirt with a collar is a real plus around my office.<br><br>The fit is amazing.  I'm built like a fire plug...  5'11"" and 220 lbs.  I have a 48"" chest, but normally wear a 50-52 coat for my shoulders...  well, the XL is a perfect fit for me.  A large fits me better across the chest  and is more form fitting (it's snug, but not tight) but the XL fits my shoulders and is a lot more comfortable.  In my opinion the sizing is SPOT ON ACCURATE.  From the jerzees website: L = 46, XL = 50.<br><br>Even better than the way it fits in the chest is the sleeves.  They go all the way to my elbows.  A standard polo sleve bunches up and creeps up to my shoulder...  this shirt has a roomy shoulder so it doesn't bunch up and the sleeves go all the way to my elbow (straight armed it stops about 1.5 - 2"" above the crease in my inner elbow).<br><br>Lastly is the length... at 5'11 I can tuck this shirt in into my jeans or slacks and it looks great.  Most polo shirts in an XL are either way too long (hang past my crotch) or way too short (stop at my belt).  This one was designed to be worn tucked in.<br><br>If you are taller than 6 feet, I'd look at the tall sizes... if you're heavier (thicker in the middle) look at the numbered sizes.  A ""secret"" to shirt sizing that many don't know is that an XXL and a 2XL are not the same cut.  In football terms an XXL is for a running back while a 2XL is for a lineman.  If you're stocky in the middle get the numbered size... if you're a big guy with a V-back (narrow waist), then go for the multiple X sizing.<br><br>For washing... The tag says machine wash and machine dry.  Personally: I just toss them in the machine on cold and then dry them on low to about half way (15-20 minutes on low heat) ...  then hang dry them the rest of the way so they don't shrink (they're not supposed to shrink since they're 50% poly but it is still a knit shirt).
"
5.0 out of 5 stars,"
  Needed a green shirt for work. I’m 5’0 weighing at 200lBs so I did order a medium being that men clothing run bigger than women. I wore a thin v neck shirt under so it did fit snug like a medium should.
"
5.0 out of 5 stars,"
  I thought the shirt was great ! It fit me perfect . I am a regular medium<br>5’7” 156 lbs . The length was right for my height , I got the navy blue and looks great with jeans or chinos .i did not see anything cheap about it and I like their hoodies too !
"
3.0 out of 5 stars,"
  I bought these as a cheap replacement for my old all cotton shirts by another company altogether. They do seem cheap. Firstly, they have a strong chemical odor not usually associated with cotton/polyester. At least not in my experience. Secondly, they are very thin. The material is light in weight. they may do be5tter after a washing (I got them not 30 minutes ago), and we will have to see. the one thing that I am afraid of is the material may be actually more polyester than cotton. It is ""supposed"" to be 50/50. But, I really don't think so. I am relying on my experience in clothing, and my first visual impression to make that statement. I am not expecting much. Will update in a few months. If they last that long.<br>24 hrs later: washed etc, They did ""fluff"" a miniscule amount. I noticed that when I took them from the washer they were almost dry to the touch which leads me to believe less cotton. More polyester.
"
5.0 out of 5 stars,"
  Like that the collar does not get a permanent crease. Armholes are good size for men with muscles. My husband usually complains they are too tight, but he likes these. Length is perfect  for average 5'7"" man. Husband said that the stistitching on the bottom edge is very nice.  Has been washed multiple times, color is still intact.  Material doesnt pick. Shirt is used for work, manual labor, getting dirty etc.... not a desk job. But looks nice too- so it would still be nice for office.  Dry's fairly quickly when he gets wet. Not a bad wrinkle shirt, very good wash and wear, is 50/50 poly/cotton.  Will be orderung a good deal more of these. Were hesitant at first when it arrived.
"
1.0 out of 5 stars,"
  The shirt was never worn &amp; it's already ripping at a seam. We washed it per the washing instructions &amp; the first time it was put on, we noticed the rip. Poor quality and not well made. It fit great, I guess you get what you pay for.
"
3.0 out of 5 stars,"
  If you have a dog that sheds, please be forewarned that this shirt will collect every single dog hair in the dryer. Every. Single. One. #polyester It will come out looking like your animal is attached to it somehow. I have to spend ten minutes (not exaggerating) removing dog hair with both a lint brush and a lint sticky roller. The shirt is great and fits great and washes well with no fading and wrinkling, but it is NOT pet hair friendly. Everyone else, knock yourself out, because it is a great shirt.
"
